song_id,song_name,artist_name,version,old_genre,new_genre
1870,TYPHØN,BlackY,27,TYPHØN,テンペストコア
1871,REFLEXES MANIPULATION,山本真央樹,27,REFLEXES MANIPULATION,フュージョン
1872,オーバー,"BEMANI Sound Team ""DJ KOMACHI""",27,オーバー,ドラムンレミニス
1873,Knockin' on Red Button,red glasses feat.藤野マナミ,27,Knockin' on Red Button,ポップンポップ3
1874,The Metalist,REI,27,The Metalist,スラッシュメタル
1875,イマココ！この瞬間,日向美ビタースイーツ♪,27,イマココ！この瞬間,ウェルカムホーム
1878,Liar×Girl,"BEMANI Sound Team ""HuΣeR"" feat.ゆきまめ",27,Liar×Girl,スタイリッシュフェイカー
1879,Hades Doll,"BEMANI Sound Team ""Power Of Nature""",27,Hades Doll,エンチャントバロック
1880,アモ,八月二雪,27,アモ,チリ―ステップ
1881,Jazz is Rad,ARM (IOSYS) + Brasscapsule,27,Jazz is Rad,ラジカルクラブジャズ
1882,不可説不可説転,OSTER project,27,不可説不可説転,アンカウンタブル
1883,encounter,猫叉Master+,27,encounter,ドラムンベース
1884,閉塞的フレーション,"Pizuya's Cell VS BEMANI Sound Team ""dj TAKA""",27,閉塞的フレーション,ロック
1885,残像ニ繋ガレタ追憶ノHIDEAWAY,"SOUND HOLIC Vs. BEMANI Sound Team ""KE!JU"" feat. Nana Takahashi",27,残像ニ繋ガレタ追憶ノHIDEAWAY,ハイパーデジロック
1886,SUPER HEROINE!!,"Amateras Records vs BEMANI Sound Team ""TATSUYA"" feat. miko",27,SUPER HEROINE!!,幻想フルオン
1887,弾幕信仰,"豚乙女×BEMANI Sound Team ""PON""",27,弾幕信仰,ハードオリエンタル
1888,UROBOROS OVERDIVE,L.E.D. feat. YURiCa/花たん,27,UROBOROS OVERDIVE,リバースサイトランス
1889,Megalara Garuda,SYUNN,27,Megalara Garuda,ドラムステップ
1890,Megalara Garuda,SYUNN,27,Megalara Garuda,ドラムステップ
